recipe_title,category,subcategory,description,ingredients,directions,num_ingredients,num_steps
Hot Bean and Bacon Dip with Air Fryer Tortilla Chips,Nachos,Nachos,"This is a great dip for game day, potlucks, or get-togethers. We serve it with air-fried tortilla chips. Leftovers are great (but you probably won't have any) in a flour tortilla for a bean and cheese burrito, or roll it in a corn tortilla for a quick taco.","[""avocado oil cooking spray"", ""\u00bd pound bacon"", ""\u00bd cup chopped onion"", ""1 (4 ounce) can chopped green chiles (such as Ortega\u00ae)"", ""2 cloves garlic, minced"", ""1 (29 ounce) can pinto beans, undrained"", ""\u00bd cup chicken broth"", ""1 teaspoon chili powder"", ""2 tablespoons cream cheese"", ""salt and ground black pepper to taste"", ""1 cup shredded sharp Cheddar cheese"", ""1 cup shredded pepper Jack cheese"", ""12 (6 inch) corn tortillas""]","[""Preheat the oven to 350 degrees F (175 degrees C). Lightly spray an 8x8-inch baking dish."", ""Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Crumble once cooled."", ""Saute onion in the same skillet until translucent, 4 to 5 minutes. Add green chiles and garlic and cook for 2 more minutes. Add pinto beans; bring to a boil. Stir in chicken broth and chili powder. Reduce heat to low and mash beans. Let simmer until slightly thickened, 5 to 6 minutes. Add cream cheese and stir until melted. Simmer until slightly thickened, 5 to 6 minutes. Add bacon and stir until well combined. Season with salt and pepper."", ""Layer 1/2 of the bean mixture, 1/2 cup pepper Jack, and 1/2 cup Cheddar cheese into the prepared baking dish. Repeat layers."", ""Bake, covered, in the preheated oven for 15 minutes. Uncover and continue baking until cheese is melted or lightly browned, 5 to 7 minutes more."", ""Meanwhile, preheat an air fryer to 350 degrees F (175 degrees C) according to manufacturer's instructions."", ""Cut each tortilla into fourths. Spray both sides of each tortilla with avocado oil. Place in air fryer basket in a single layer. Air fry for 4 to 6 minutes. Flip and continue cooking until crisp, 2 to 3 minutes more. Check your basket constantly because they can burn quickly. Sprinkle with salt and serve with hot dip.""]",13,7
Hychin,Breads,Flat Bread,"Hychin is a traditional dish of the Balkar people, from the Caucasus mountains in Russia (Elbrus region). These flatbreads with a cheese and potato filling are traditionally cooked in a cast-iron skillet and served with garlic and dill sauce on the side.","[""2 \u00bc pounds potatoes, unpeeled"", ""5 \u2153 cups all-purpose flour"", ""1 cup buttermilk"", ""1 cup room-temperature water"", ""1 teaspoon salt, plus more as needed"", ""2 \u00bc pounds fresh mozzarella cheese, shredded"", ""\u00bc pound butter, melted""]","[""Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes. Drain."", ""Combine flour, buttermilk, water, and 1 teaspoon salt in a bowl. Whisk with a fork; when the dough thickens, start kneading by hand. Knead for at least 10 minutes, applying all of your strength so you will have to put less effort into rolling. Cover dough and let rest at least 30 minutes."", ""Peel and mash the boiled potatoes in a bowl. Add mozzarella cheese and combine well. Add salt to taste if the mixture is too bland. Divide filling into 12 balls; place on a plate or baking sheet and cover."", ""Divide dough into 12 balls; these will be smaller than the filling balls. Place on a plate or baking sheet and cover."", ""Stretch 1 piece of dough into a small, flat circle. Place a filling ball in the center; pull up the edges of the dough and secure to have a ball encased in dough. Repeat with remaining dough and filling."", ""Heat a heavy-bottomed frying pan over medium heat; use no oil or grease. Place melted butter in a bowl nearby. Sprinkle a work surface with a generous amount of flour. Carefully and gently start to roll out a ball; the dough will be hard to work at first. Be careful not to press too hard with the rolling pin to avoid rips; roll into a circle about 1/4-inch thick."", ""Place hychin into the hot pan. Fry until golden-brown spots appear, about 2 minutes. Pierce with a knife to deflate, if necessary. Turn over and cook on the other side, about 2 minutes more. Brush generously with butter and transfer to a plate. Repeat with remaining balls and stack cooked hychin on the plate."", ""Cut the whole hychin stack into 8 slices like a pie.""]",7,8
I Tried Giada's Sheet Pan Lasagna Method and am Never Going Back,Dinner,Sheet Pan Dinners,"This spinach and artichoke sheet pan lasagna, inspired by Giada's viral recipe, is loaded with sausage, spinach, and artichokes. It's cheesy, golden, and bubbly, with all of the lasagna goodness you expect, but the assembly is much simpler.","[""16 ounces lasagna noodles"", ""1 tablespoon olive oil,"", ""2 cloves garlic,"", ""8 cups fresh spinach,"", ""3/4 cup ricotta cheese"", ""salt and freshly ground black pepper to taste"", ""1 cup grated Parmesan cheese"", ""1 pound Italian sausage"", ""1 (14 ounce) can artichoke hearts"", ""1 1/2 cups heavy cream"", ""1/4 teaspoon red pepper flakes"", ""1 1/2 cups shredded mozzarella cheese"", ""chopped fresh basil or parsley""]","[""Gather all ingredients."", ""Bring a large pot of salted water to a boil; add lasagna noodles and cook for 4 to 5 minutes. Drain, toss in 1 tablespoon olive oil in the lasagna pot or in a large bowl, and set aside."", ""Add a drizzle of olive oil to a large skillet; place over medium heat and saut\u00e9 garlic until fragrant, about 30 seconds. Add 2 cups spinach and cook until just wilted, about 3 minutes. Remove from the pan and use kitchen shears to roughly chop the spinach; add to a small bowl and stir in ricotta and 1/4 cup Parmesan. Season with salt and pepper. Set aside."", ""Cook sausage in the same skillet over medium heat until browned and cooked through, breaking it into crumbles, about 5 minutes. Add artichokes and saut\u00e9 for 2 to 3 minutes. Pour in cream and bring to a gentle simmer. Season with salt, pepper, and red pepper flakes. Simmer until slightly thickened, 2 to 3 minutes, then stir in remaining spinach and cook until just wilted."", ""Pour sausage mixture into lasagna noodles. Stir in 1/2 cup Parmesan and half of mozzarella. Mix until cheese is melted and lasagna noodles are fully coated."", ""Preheat the oven to 425 degrees F (220 degrees C). Lightly grease a 18x13-inch baking sheet or 9x13-inch baking dish."", ""Spread pasta mixture evenly across the prepared pan. Dollop ricotta-spinach mixture over the top. Sprinkle mozzarella cheese and Parmesan evenly across the entire surface."", ""Bake in the preheated oven until bubbling and golden, 15 to 20 minutes. Optionally, for a more golden crust, turn on the oven's broiler and broil the top for 1 to 2 minutes at the end. Let cool slightly, garnish with fresh herbs if desired, and cut into squares to serve.""]",13,8
Jalapeño Bacon Cheddar Deviled Eggs,Appetizers And Snacks,Deviled Eggs,"This jalapeño bacon Cheddar deviled eggs recipe is a spin on an old classic — deviled eggs with the addition of savory bacon, delicious Cheddar, and spicy jalapeño.","[""12 large eggs"", ""4 slices bacon"", ""3 jalape\u00f1o peppers"", ""1 cup finely shredded sharp Cheddar cheese"", ""\u2153 cup mayonnaise"", ""\u00bc red onion, minced"", ""2 tablespoons spicy brown mustard"", ""1 pinch paprika, or to taste""]","[""Place eggs in a saucepan; cover with water. Bring to a boil, remove from heat, and let eggs stand in water for 15 minutes. Remove eggs from water, cool under cold running water, and peel."", ""Place bacon in a large skillet; cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain on paper towels; crumble when cool."", ""Remove seeds and stems from jalape\u00f1os; mince 1 pepper and slice remaining 2 peppers into 24 very thin strips; set aside."", ""Cut eggs in half lengthwise; place yolks in a bowl. Mash with a fork; stir in minced jalape\u00f1o, Cheddar cheese, mayonnaise, red onion, and mustard."", ""Place egg whites, cut side up, on a serving platter. Spoon yolk mixture into egg white halves; insert pepper strip into each yolk; sprinkle with crumbled bacon and paprika.""]",8,5
Joy's Green Banana Salad,Fruit Salads,Fruit Salads,"A recipe from my kitchen when I was in Puerto Rico made with green bananas, sweet onion and bacon in a vinegar dressing. I have served it to my North American friends and they love it as well. It is great to serve instead of the same ol' potato salad. Dare to try something new?","[""6 small unripe (green) bananas"", ""2 tablespoons olive oil, divided"", ""1 green bell pepper, sliced into thin rings"", ""1 cup small shrimp - peeled and deveined"", ""1 cup crabmeat"", ""1 sweet onion, chopped"", ""1 pinch salt and pepper to taste"", ""1 teaspoon white sugar"", ""\u00be cup red wine vinegar"", ""2 slices crisp cooked bacon, crumbled"", ""1 hard-cooked egg, peeled and sliced (Optional)""]","[""Bring a large pot of water to a boil. Cut the ends off of the bananas, and make a slit lengthwise down the peel. Cook bananas in boiling water until tender (similar to a potato). Drain, cool, and remove peels. Cut into small chunks and place in a serving bowl. Drizzle 1 tablespoon of olive oil over the pieces, and stir to coat."", ""Meanwhile, heat the remaining tablespoon of oil in a skillet over medium-high heat. Add shrimp and crab, and fry until cooked through, about 5 minutes. Set aside to cool."", ""Add onions, green pepper and seafood to the bananas in the bowl. In a separate bowl, whisk together the red wine vinegar, sugar and bacon pieces. Pour this mixture over the bananas, and toss lightly to coat. Season with salt and pepper. Garnish with slices of hard-cooked egg if desired.""]",11,3
Lemon Chicken Piccata,Mother'S Day,Mother'S Day,This delicious chicken piccata dish is exquisite and easy to prepare. The light and luscious lemon sauce really pops without being too acidic; it is simply divine. I love to serve this with herb-roasted potatoes or lemon-rice pilaf.,"[""3 large skinless, boneless chicken breast halves - cut into \u00bd-inch medallions"", ""salt and pepper to taste"", ""\u00bd cup all-purpose flour"", ""2 tablespoons vegetable oil, or as needed"", ""1 clove garlic, minced"", ""1 cup low sodium chicken broth"", ""\u00bd lemon, thinly sliced (Optional)"", ""\u00bc cup fresh lemon juice"", ""2 tablespoons capers, drained and rinsed"", ""3 tablespoons butter"", ""2 tablespoons minced Italian (flat-leaf) parsley""]","[""Preheat the oven to 200 degrees F (95 degrees C). Place a serving platter into the oven to warm."", ""Season chicken breast pieces with salt and pepper and dredge them in flour. Shake off excess flour. Heat vegetable oil in a skillet; pan-fry the chicken pieces until golden brown on both sides, about 3 minutes per side. Work in batches and do not crowd skillet, adding oil as needed. Place chicken pieces onto the warmed platter in the oven. When finished with all of the chicken, drain most of the oil from the skillet, leaving a thin coating on the surface of the pan."", ""Cook and stir minced garlic in the skillet until fragrant, about 20 seconds. Pour in chicken broth; scrape and stir any brown bits from the bottom of the skillet. Stir in lemon slices and bring the mixture to a boil. Let cook, stirring occasionally, until the sauce reduces to about 2/3 cup, 5 to 8 minutes. Add lemon juice and capers; simmer until sauce is reduced and slightly thickened, about 5 minutes more. Drop butter into the skillet and swirl it into sauce by tilting the skillet until butter is melted and incorporated. Add parsley; remove from heat and set aside."", ""Arrange chicken medallions on serving plates and spoon sauce over each portion to serve.""]",11,4
Mashed Potato au Gratin,Chef John,Chef John'S Side Dishes,"This spectacular mashed potato au gratin is my favorite potato side dish, mashed potatoes, topped with my other favorite potato side dish, potatoes au gratin. Beautiful, buttery mashed potatoes, with crusty, cheesy potatoes on top—it's a whole new exciting way to eat potatoes.","[""6 large russet potatoes, peeled and quartered"", ""3 tablespoons kosher salt"", ""1/2 cup unsalted butter, cut in pieces"", ""salt"", ""1 cayenne"", ""3/4 cup milk"", ""4 ounces Comte""]","[""Preheat the oven to 450 degrees F (230 degrees C). Butter a 13x9-inch baking dish."", ""For the mashed potato, add quartered russet potatoes to a pot with 3 tablespoons salt and enough water to cover by 2 inches. Bring to a boil over high heat; reduce heat to medium and simmer until tender when pierced with a sharp knife, but not falling apart, 15 to 20 minutes. Drain very well."", ""Return potatoes to the pot, and mash until almost smooth. Add butter, salt, and cayenne. Mash until smooth."", ""Add milk and the 4 ounces shredded cheese, and mash and mix until evenly combined. Spread evenly into the prepared baking dish, and smooth the top. Season the top with salt and freshly ground black pepper."", ""For the au gratin potato layer, slice each half potato into 1/8-inch slices."", ""Fan the potato out slightly at an angle, and place on top of mashed potatoes. Repeat with remaining potato halves to cover the surface, creating 4 rows across by 2 potato halves long, using 8 halves total. Depending on the size of potato and dish, you may have to adjust the layout to cover."", ""Generously salt sliced potatoes, and brush generously with melted butter. Scatter the 2 ounces shredded cheese on top, and finish with grated Parmigiano-Reggiano."", ""Bake in the preheated oven until sliced potatoes on top are tender when pierced with a knife, about 1 hour.""]",7,8
Mediterranean Casserole,Casseroles,Seafood Casserole,"Whether you're on a diet or just like to eat Italian cooking with flavor, this is the perfect choice for you. In Italy it is usually served after an entree, but can also be eaten as a main dish with a tossed salad.","[""1 pound potatoes"", ""3 tablespoons extra-virgin olive oil"", ""4 (4.375 ounce) cans sardines, drained"", ""\u00bd pound cherry tomatoes, diced"", ""2 cloves garlic, chopped"", ""1 tablespoon dried basil"", ""2 tablespoons bread crumbs""]","[""Place the potatoes into a large pot and cover with salted water. Bring to a boil; reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain. Cover with cold water and allow to sit until cool, draining and replacing the cold water as needed. Peel and slice the potatoes thinly."", ""Preheat an oven to 350 degrees F (175 degrees C)."", ""Grease a casserole dish with the olive oil. Line the casserole dish with an even layer of potato slices; top with a layer of sardine fillets. Scatter the diced tomatoes over the sardines. Sprinkle the garlic, basil, and bread crumbs over the tomatoes."", ""Bake in the preheated oven until heated through, about 20 minutes.""]",7,4
Melanzane alla Parmigiana (Eggplant Parmesan),Eggplant Parmesan,Eggplant Parmesan,"Melanzane alla parmigiana is a classic Italian dish from Sicily that's often simply referred to as ""parmigiana"" by Sicilian locals. The richness and depth of flavor you get from this authentic version is well worth the extra effort. Serve eggplant Parmesan with nothing more than crusty bread and a green salad.","[""2 cups extra-virgin olive oil, or as needed"", ""6 eggplants, trimmed and cut into 1/2-inch thick slices"", ""1 bunch fresh basil"", ""salt to taste"", ""1 \u2153 cups tomato puree (passata)"", ""2 tablespoons olive oil, divided"", ""2 cloves garlic"", ""18 ounces fresh mozzarella cheese, drained and sliced"", ""\u00bd teaspoon dried oregano, or to taste"", ""4 ounces grated Parmesan cheese""]","[""Pour 2 cups oil (or amount needed for a depth of 1 inch) into a deep skillet; heat over medium heat."", ""Pat eggplant slices dry with a paper towel. Set aside 4 whole basil leaves; chop remaining leaves."", ""Fry eggplant in batches in hot oil until golden, 2 to 3 minutes per side. Transfer eggplant to a paper towel-lined plate using a slotted spoon; season with salt."", ""Simmer passata, 1 tablespoon olive oil, garlic cloves, 4 basil leaves, and a pinch salt in a saucepan over medium heat for 10 minutes. Remove from the heat and discard garlic cloves."", ""Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a baking dish."", ""Layer ingredients in the baking dish in the following order as many times as possible: fried eggplant, tomato sauce, mozzarella cheese, oregano, Parmesan cheese, and basil leaves. End with a layer of mozzarella and a drizzle of remaining 1 tablespoon olive oil."", ""Bake in the preheated oven until heated through and cheeses are melted, about 40 minutes. Let stand a few minutes before slicing.""]",10,7
Mini Philly Cheesesteaks,Appetizers And Snacks,Canapes And Crostini,"Miniaturized sandwiches don't usually float my boat, as they're almost always not as good as the full-sized versions. But this mini Philly cheesesteak recipe captures everything I love about the classic.","[""2 tablespoons butter, or as needed"", ""2 tablespoons all-purpose flour, or as needed"", ""1 cup cold milk"", ""2 ounces shredded provolone cheese, or more to taste"", ""1 pinch ground nutmeg"", ""1 pinch cayenne pepper"", ""salt to taste""]","[""Preheat the oven to 400 degrees F (200 degrees C). Line baking sheets with aluminum foil."", ""Make sauce: Melt butter in a skillet over medium-high heat. Whisk flour into hot butter and cook, whisking constantly, until mixture is pale and flour taste cooks off, about 1 minute. Whisk milk into flour mixture until mixture is hot and thickened, 3 to 6 minutes. Add provolone cheese, nutmeg, cayenne pepper, and salt; stir until cheese is completely melted. Set aside."", ""Make mini cheesesteaks: Season steak with salt and black pepper."", ""Heat 1 tablespoon olive oil in a skillet over medium-high heat. Cook steak in hot oil, turning occasionally, until meat is slightly firm and pink on the inside, 5 to 7 minutes. Transfer meat to a plate."", ""Return the skillet to heat and pour in water; bring to a boil while scraping the browned bits of food off of the bottom of the pan with a wooden spoon. Pour liquid from the skillet over steak. Cool steak to room temperature; dice meat and place meat and accumulated juices from the plate into a large bowl."", ""Heat 1 tablespoon oil in a skillet over medium-high heat; saut\u00e9 onion and peppers in hot oil until softened and slightly translucent, about 5 minutes. Stir onion and peppers into beef in the bowl; season with salt and pepper."", ""Spread bread slices out on the prepared baking sheets and drizzle with remaining 1 tablespoon olive oil. Flip slices over so the oiled sides face downward. Spread cheese sauce generously onto each slice. Spoon beef mixture on top. Sprinkle with provolone cheese."", ""Bake in the preheated oven until browned and cheese is melted, 12 to 15 minutes.""]",7,8
Mom's Pasta al Forno,Ziti,Ziti,"Mom used to make this pasta al forno on special days, like on holidays and a lot of Sundays. It was a big treat for us. It is a lot of work because of all the ingredients that you have to layer on the pasta but it's well worth it. You can choose whatever you like in the ziti, but we love it just like this. It's filling and it's good.","[""3 tablespoons vegetable oil"", ""1 medium onion, sliced"", ""3 (15 ounce) cans tomato puree"", ""4 \u00bc cups water, or to taste"", ""6 tablespoons white sugar"", ""6 leaves fresh basil""]","[""Heat oil in a large pot over medium heat. Add onion; saute until translucent, about 5 minutes. Mix in tomato puree and water; cook for 10 minutes. Stir in sugar and basil. Reduce heat to low; simmer for 30 minutes, stirring occasionally."", ""While the sauce is cooking, bring a very large pot of lightly salted water to a boil. Add ziti and cook, stirring occasionally, until tender yet firm to the bite, about 8 minutes. Drain and return to the pot."", ""Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease. Add ground beef to cooked pasta. Mix in enough tomato sauce to lightly coat the pasta."", ""Mix ricotta cheese and water in a bowl until it reaches a spreadable consistency."", ""Preheat the oven to 375 degrees F (190 degrees C)."", ""Spread a ladleful of sauce in the bottom of a 9x13-inch baking dish. Add 1/2 of the pasta, all of the ricotta cheese, peas, and 1/2 of the Parmesan cheese. Layer the sliced eggs on every section of the pasta; cover with 1/2 of the mozzarella cheese. Pour remaining pasta, Parmesan cheese, sauce, and mozzarella on top. Cover with aluminum foil."", ""Bake in the preheated oven until golden brown and bubbly, 40 to 50 minutes. Let stand for about 10 minutes before cutting, so slices don't fall apart.""]",6,7
Mongolian Meatloaf,Comfort Food,Meatloaf,"I could not be more pleased with how this Mongolian Meatloaf experiment turned out. Since I couldn't decide whether to make meatloaf or Mongolian beef, I decided to try both things at once. The result is a tender meatloaf, sliced and crisped in a skillet and served with a sweet, salty, savory sauce, which, like the American Chinese restaurant favorite, Mongolian Beef, is not remotely Mongolian. But it sure is delicious, especially served over steamed rice with bok choy.","[""1 tablespoon vegetable oil"", ""1 cup diced yellow onion"", ""3 cloves garlic, crushed"", ""2 teaspoons ginger"", ""2 pounds ground beef"", ""1 cup cooked rice, cold or at room temperature"", ""1 large egg, beaten"", ""1/2 cup green onions"", ""1 tablespoon soy sauce"", ""1 teaspoon kosher salt"", ""1/2 teaspoon ground black pepper""]","[""Preheat the oven to 350 degrees F (180 degrees C). Lightly oil a loaf pan."", ""Heat 1 tablespoon vegetable oil in a nonstick skillet over medium-high heat and saut\u00e9 yellow onions with a pinch of salt until they start to turn golden, 3 to 5 minutes. Stir in 3 cloves crushed garlic and 2 teaspoons ginger, and cook for 1 minute more. Remove from heat and let cool to room temperature, about 15 minutes."", ""Add cooled onion mixture to ground beef along with rice, egg, green onions, 1 tablespoon soy sauce, salt, and black pepper. Use a fork, spatula, or your hands to mix together until evenly combined. Transfer to the prepared loaf pan, press in firmly, and smooth the top."", ""Bake in the preheated oven until an instant read thermometer inserted in the center reads 145 to 150 degrees F (63 to 65 degrees C), about 1 hour. Meatloaf can be served hot, or let cool, wrap and refrigerate until chilled, about 45 minutes."", ""For the sauce, combine 2 teaspoons oil, 1 tablespoon ginger, and 4 minced garlic cloves in a cold nonstick skillet."", ""Turn heat on to medium-high. Once ginger and garlic start to sizzle, cook, stirring, for about 30 seconds, then whisk in brown sugar, 1/2 cup soy sauce, 1/4 cup water, ketchup, and red pepper flakes. Bring to a simmer, then reduce heat to low."", ""Whisk 1 teaspoon cornstarch with 2 teaspoons water together in a small bowl to make a slurry; stir into the sauce. Raise heat to medium-high and return to a simmer. Cook, whisking occasionally, until sauce thickens slightly, about 2 minutes. Reduce heat to low and keep warm until needed (Sauce may be made ahead and reheated on medium-low heat)."", ""Remove cold meatloaf from the refrigerator and slice into 8 portions. Dust each side with cornstarch, and reheat over medium high heat in a nonstick skillet in a little bit of vegetable oil until browned and heated through. If surface browns before meatloaf is heated through, reduce heat to medium, and cover until done."", ""Serve topped with the sauce; garnish with toasted sesame seeds, sliced green onions, and chopped cilantro if desired.""]",11,9
Philadelphia-Style Roast Pork Sandwiches,Pork,Pork Sandwiches,Forget cheese steaks: this delicious roast pork sandwich is like the kind you'll find in South Philly.,"[""1 (3 pound) pork shoulder roast"", ""3 tablespoons chopped fresh rosemary"", ""3 tablespoons chopped fresh parsley"", ""3 cloves garlic, chopped"", ""4 teaspoons olive oil, divided"", ""1 tablespoon kosher salt, plus more to taste"", ""1 tablespoon freshly ground pepper, plus more to taste"", ""1 cup water, or more as needed""]","[""Preheat the oven to 325 degrees F (165 degrees C)."", ""Make the pork: Remove the netting or strings from pork roast, keeping them intact to use again. Combine rosemary, parsley, garlic, 3 teaspoons oil, 1 tablespoon kosher salt, and 1 tablespoon pepper in a bowl. Slice open pork roast and spread it with herb mixture. Roll up pork and secure it with the netting or string. Rub remaining 1 teaspoon oil all over pork; season with more salt and pepper."", ""Place pork, fat-side up, in a roasting pan; pour in water."", ""Bake in the preheated oven, basting occasionally and adding more water if necessary, until an instant-read thermometer inserted into the meat reads at least 145 degrees F (63 degrees C), 1 1/2 to 2 hours. Remove from the oven and let rest for 10 to 15 minutes. Reserve pan juices in the roasting pan."", ""While the pork is resting, prepare fixings: Heat oil in a frying pan over medium heat. Stir in garlic and red pepper flakes; cook and stir until garlic is fragrant but not brown, about 3 minutes. Pour in chicken stock and bring to a boil. Add spinach, lemon juice, salt, and pepper. Reduce the heat to medium-low and cook, stirring occasionally, until spinach is wilted, 2 to 3 minutes."", ""Cut and remove the string from the roast. Cut pork into thin slices. Return sliced pork to the juices in the roasting pan."", ""Slice sandwich rolls. Sprinkle Manchego cheese over split rolls, add pork slices, and top with spinach.""]",8,7
Pretty Darn Quick Potato Gratin,Easter,Potatoes Au Gratin,This cheesy potato gratin can be quickly prepped with a food processor.,"[""4 ounces Gruy\u00e8re or Comt\u00e9 cheese"", ""4 large Yukon Gold potatoes, peeled"", ""1 \u00bd cups half-and-half"", ""1 large garlic clove, peeled and very finely minced"", ""\u00be teaspoon salt"", ""1 pinch freshly grated nutmeg""]","[""Preheat the oven to 400 degrees F (200 degrees C). Butter an 8x8-inch baking dish."", ""Fit a food processor with a shredding disk and use it to shred cheese. Transfer to a small bowl. Fit processor with slicing disk and use it to slice potatoes."", ""Put potatoes in a large saucepan with half-and-half, garlic, salt, and nutmeg; stir gently to combine. Bring to a boil over medium-high heat, stirring occasionally. Cook at a gentle boil, stirring often with a heat-safe spatula to prevent sticking, until half-and-half has reduced and thickly coats potatoes, about 8 minutes."", ""Spoon into prepared baking dish. Smooth top and sprinkle evenly with cheese."", ""Bake in preheated oven until potatoes are tender when pierced with a knife and top is golden brown, 25 to 30 minutes. Let stand 5 to 10 minutes before serving.""]",6,5
Pumpkin Baklava,Halloween,Pumpkin Recipes,This recipe for pumpkin baklava is inspired by one that my aunt made from a recipe passed down to her from my yiayia (Greek for grandmother). I first made it with my aunt in Athens and finally recreated it at home. It's a lesser known yet traditional version of Greek baklava.,"[""3 cups white sugar"", ""2 3/4 cups water"", ""1 stick cinnamon"", ""3 strips lemon or orange peel""]","[""First make the syrup: Add white sugar, water, cinnamon stick, and citrus peel to a medium saucepan. Place over medium heat and bring to a boil. Once boiling, boil for 2 minutes and remove from heat. Let cool completely. (This can be done up to a week in advance; store the cooled syrup in the refrigerator until needed.)"", ""Preheat the oven to 350 degrees F (180 degrees C). Brush a 9x13-inch baking dish with some of the melted butter."", ""Place walnut halves in a food processor and pulse several times until they resemble fine crumbs. Combine walnuts with shredded pumpkin, breadcrumbs, olive oil, sugar, cinnamon, and ground cloves. Stir until well combined."", ""Unroll phyllo dough and remove one sheet from the stack. Cover remaining phyllo with a dampened tea towel to keep from drying out as you work. Brush the sheet of dough with melted butter and lay in the prepared baking dish; press lightly so the sheet covers the bottom of the dish and comes up the sides. Repeat until you have 8 sheets layered. Do not worry if there are some tears in any of the sheets, this is expected and won't affect the final result!"", ""Spoon the pumpkin mixture over the phyllo base and level out to the sides. Fold the overhanging phyllo over the top of the pumpkin mixture."", ""Brush another sheet of phyllo dough with melted butter and lay over the pumpkin mixture. Repeat until you've topped with 6 to 8 sheets. Use your pastry brush to scrunch the overhanging phyllo down into the sides of the baking dish. Drizzle any remaining melted butter all over the top of the baklava."", ""Using a sharp knife, cut into diamond or square shapes all the way through the top layers of phyllo; do not cut through the bottom layers."", ""Bake in the preheated oven until the phyllo is a deep golden brown, 50 to 60 minutes."", ""Remove baklava from the oven and immediately ladle the cool syrup over the hot baklava. Add one ladleful at a time until all of the syrup has been added."", ""Set aside and let rest, uncovered, for 8 hours or overnight before serving.""]",4,10
